"('S', 'S')",0.247
"('P', 'I')",0.322
"('P', 'F')",0.123
"('S', 'N')",0.131
"('O', 'F')",0.055
"('F', 'F')",0.05
"('F', 'Cl')",0.107
"('I', 'H')",0.122
"('N', 'I')",0.153
"('S', 'I')",0.289
"('O', 'H')",0.051
"('F', 'C')",0.072
"('P', 'N')",0.145
"('S', 'Br')",0.249
"('P', 'C')",0.179
"('C', 'Br')",0.162
"('N', 'Cl')",0.125
"('S', 'H')",0.104
"('C', 'C')",0.105
"('P', 'O')",0.135
"('N', 'N')",0.069
"('Cl', 'C')",0.154
"('H', 'F')",0.047
"('I', 'C')",0.189
"('S', 'C')",0.161
"('I', 'Br')",0.292
"('O', 'O')",0.06
"('O', 'Cl')",0.117
"('Cl', 'Cl')",0.227
"('S', 'P')",0.274
"('S', 'Cl')",0.237
"('O', 'N')",0.064
"('N', 'F')",0.059
"('I', 'F')",0.13
"('Cl', 'Br')",0.239
"('O', 'C')",0.079
"('H', 'Cl')",0.1
"('N', 'Br')",0.132
"('P', 'H')",0.116
"('N', 'C')",0.085
"('P', 'Cl')",0.263
"('H', 'C')",0.068
"('S', 'O')",0.122
"('H', 'Br')",0.105
"('H', 'H')",0.044
"('P', 'P')",0.305
"('S', 'F')",0.111
"('I', 'I')",0.339
"('P', 'Br')",0.277
"('I', 'Cl')",0.277
"('N', 'H')",0.055
"('Br', 'Br')",0.251
"('F', 'Br')",0.112
"('O', 'Br')",0.123
"('O', 'I')",0.143
