"('S', 'S')",4.035
"('P', 'I')",4.324
"('P', 'F')",3.756
"('S', 'N')",3.848
"('O', 'F')",3.432
"('F', 'F')",3.364
"('F', 'Cl')",3.655
"('I', 'H')",3.693
"('N', 'I')",4.08
"('S', 'I')",4.268
"('O', 'H')",3.193
"('F', 'C')",3.607
"('P', 'N')",3.904
"('S', 'Br')",4.112
"('P', 'C')",3.999
"('C', 'Br')",4.02
"('N', 'Cl')",3.804
"('S', 'H')",3.461
"('C', 'C')",3.851
"('P', 'O')",3.824
"('N', 'N')",3.66
"('Cl', 'C')",3.899
"('H', 'F')",3.125
"('I', 'C')",4.175
"('S', 'C')",3.943
"('I', 'Br')",4.345
"('O', 'O')",3.5
"('O', 'Cl')",3.724
"('Cl', 'Cl')",3.947
"('S', 'P')",4.091
"('S', 'Cl')",3.991
"('O', 'N')",3.58
"('N', 'F')",3.512
"('I', 'F')",3.932
"('Cl', 'Br')",4.068
"('O', 'C')",3.675
"('H', 'Cl')",3.417
"('N', 'Br')",3.925
"('P', 'H')",3.517
"('N', 'C')",3.756
"('P', 'Cl')",4.047
"('H', 'C')",3.369
"('S', 'O')",3.768
"('H', 'Br')",3.538
"('H', 'H')",2.886
"('P', 'P')",4.147
"('S', 'F')",3.7
"('I', 'I')",4.5
"('P', 'Br')",4.168
"('I', 'Cl')",4.223
"('N', 'H')",3.273
"('Br', 'Br')",4.189
"('F', 'Br')",3.776
"('O', 'Br')",3.845
"('O', 'I')",4.0
